Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.6545 MVC = 0.2728 AVO = 0.3360
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.586034402
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.061950440		3.736976587	2.706989356	1.175502542	0.439141673	2.014652539	0.000000000
0.062949640		3.739077691	2.709082369	1.177585823	0.441221538	2.016741855	0.000000000
0.063948841		3.741199095	2.711195081	1.179687841	0.443319637	2.018850414	0.000000000
0.064948042		3.743373482	2.713359866	1.181840507	0.445467661	2.021010379	0.000000000
0.065947242		3.745634446	2.715609994	1.184076615	0.447698176	2.023254808	0.000000000
0.066946443		3.748016268	2.717979418	1.186429633	0.450044418	2.025617434	0.000000000
0.067945643		3.750553900	2.720502756	1.188933681	0.452540268	2.028132651	0.000000000
0.068944844		3.753282797	2.723215121	1.191623367	0.455220093	2.030835344	0.000000000
0.069944045		3.756238777	2.726151986	1.194533655	0.458118614	2.033760758	0.000000000
0.070943245		3.759457937	2.729349102	1.197699779	0.461270818	2.036944409	0.000000000
0.071942446		3.762976514	2.732842356	1.201157111	0.464711827	2.040421952	0.000000000
0.072941647		3.766830708	2.736667598	1.204940982	0.468476727	2.044229003	0.000000000
0.073940847		3.771056572	2.740860534	1.209086583	0.472600461	2.048401037	0.000000000
0.074940048		3.775689894	2.745456606	1.213628845	0.477117714	2.052973265	0.000000000
0.075939249		3.780766001	2.750490800	1.218602246	0.482062724	2.057980443	0.000000000
0.076938449		3.786319635	2.755997523	1.224040698	0.487469163	2.063456755	0.000000000
0.077937650		3.792384861	2.762010508	1.229977445	0.493370043	2.069435714	0.000000000
0.078936851		3.798994870	2.768562629	1.236444886	0.499797533	2.075949980	0.000000000
0.079936051		3.806181858	2.775685769	1.243474442	0.506782835	2.083031226	0.000000000
0.080935252		3.813976949	2.783410752	1.251096493	0.514356114	2.090710077	0.000000000
0.081934452		3.822410050	2.791767195	1.259340227	0.522546354	2.099015956	0.000000000
0.082933653		3.831509723	2.800783385	1.268233522	0.531381238	2.107976967	0.000000000
0.083932854		3.841303136	2.810486228	1.277802896	0.540887097	2.117619839	0.000000000
0.084932054		3.851815962	2.820901149	1.288073407	0.551088813	2.127969833	0.000000000
0.085931255		3.863072291	2.832052005	1.299068569	0.562009735	2.139050650	0.000000000
0.086930456		3.875094580	2.843961038	1.310810302	0.573671632	2.150884388	0.000000000
