Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.7144 MVC = 0.2568
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.640073941
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.058952838		-4.668522621	3.285632524	1.053955693	0.411343323	0.020602230	0.000000000
0.059952038		-4.663364137	3.288919155	1.057218271	0.414604596	0.024344471	0.000000000
0.060951239		-4.658345794	3.292043871	1.060320958	0.417706384	0.027931355	0.000000000
0.061950440		-4.653445568	3.295028435	1.063285095	0.420669912	0.031384468	0.000000000
0.062949640		-4.648640620	3.297895799	1.066133181	0.423517554	0.034726478	0.000000000
0.063948841		-4.643907143	3.300670216	1.068888988	0.426272950	0.037981253	0.000000000
0.064948042		-4.639220329	3.303377261	1.071577582	0.428961024	0.041173885	0.000000000
0.065947242		-4.634554236	3.306044012	1.074225496	0.431608154	0.044330856	0.000000000
0.066946443		-4.629882322	3.308698428	1.076860125	0.434241580	0.047479453	0.000000000
0.067945643		-4.625177489	3.311369305	1.079509682	0.436889352	0.050647712	0.000000000
0.068944844		-4.620412162	3.314086187	1.082203108	0.439580242	0.053864344	0.000000000
0.069944045		-4.615558581	3.316879050	1.084969771	0.442343446	0.057158422	0.000000000
0.070943245		-4.610588941	3.319778083	1.087839243	0.445208363	0.060559187	0.000000000
0.071942446		-4.605475397	3.322813789	1.090841403	0.448204699	0.064096124	0.000000000
0.072941647		-4.600190172	3.326016909	1.094006363	0.451362385	0.067798871	0.000000000
0.073940847		-4.594705530	3.329417875	1.097363932	0.454711056	0.071696833	0.000000000
0.074940048		-4.588994204	3.333047471	1.100944260	0.458280685	0.075819553	0.000000000
0.075939249		-4.583029045	3.336936133	1.104777157	0.462100905	0.080196287	0.000000000
0.076938449		-4.576783431	3.341113981	1.108892125	0.466201043	0.084855930	0.000000000
0.077937650		-4.570231156	3.345610935	1.113318467	0.470610228	0.089827118	0.000000000
0.078936851		-4.563346725	3.350456361	1.118084944	0.475357051	0.095137908	0.000000000
